,Country/Region,express,premium,smart,A,I,N,population,population_proper,fatur,compras,funcion,clientes,chamados,lat,lon,Ativas_P,Ativas_S,Ativas_E
0,Spain,35,5,16,36,13,7,22540149,10035861,2168725,216877,135,2347,80,43.366609000000004,-8.406812,4,6,26
1,Chile,25,12,23,33,18,9,11880705,3968406,1732538,173259,191,12731,210,-41.782351,-73.13945,7,13,13
2,Brazil,1,12,14,23,4,0,81319634,37621581,16114774,776617,233,3996,120,-10.916667,-37.066666999999995,12,10,1
3,Germany,1,5,10,9,5,2,83155150,83155150,2745224,52115,40,578,23,48.6296972,9.1949534,5,3,1
